"","hid","year","year_f","migdist","herdsize","z_herdsize","migb","bi_migb","reason","tac_strat","hhsize","z_w5c","z_w_ros","z_w_sumtemp","z_s_20Cdays","z_s_sumtemp","w_5C","w_ros","w_sumtemp","s_20Cdays","s_sumtemp"
"30","14",2015,"2015",700,500,-0.436811754105595,"neutral",1,"pasture","neutral",4,-0.00230505759109583,-0.9670342431458,-1.16969925888907,-0.804685342381215,-0.550842600149571,31,0.003164595,368.0304357,0,0
"31","14",2016,"2016",300,300,-0.723397243571699,"decrease",2,"climate","strategic",5,-0.966971659464622,-0.64112292551819,-0.850059309864093,3.81327748199495,5.36456469992319,22,0.038857443,593.3404128,28,11203
"32","2",2020,"2020",240,900,0.136359224826614,"neutral",1,"pasture","neutral",3,0.212065298380799,-0.995930153223017,-1.33532476801728,-0.309903611198055,-0.422005736700695,33,0,251.2832025,3,244
"33","15",2021,"2021",150,900,0.136359224826614,"decrease",2,"climate","tactical",3,-1.55649013838733,-0.472403274103832,-0.289980685581573,-0.309903611198055,-0.342274726943399,16.5,0.0573351225,988.1324355,3,395
"34","16",2017,"2017",450,700,-0.15022626463949,"neutral",1,"pasture","neutral",4,-1.50289754939436,-0.337396453706836,-0.840412486129726,0.349805363712826,0.0822532985192898,17,0.072120672,600.1403314,7,1199
"35","16",2018,"2018",240,700,-0.15022626463949,"decrease",2,"pasture","strategic",4,1.28391707824027,0.179024970527625,1.66904910516168,-0.804685342381215,-0.550842600149571,43,0.128677626,2369.026653,0,0
"36","17",2019,"2019",600,3500,3.86197058788597,"neutral",1,"pasture","neutral",6,0.426435654352694,1.48891535047977,0.0476591474098835,0.349805363712826,0.114462514381509,35,0.272132964,1226.130293,7,1260
"37","17",2020,"2020",1200,3000,3.14550686422071,"increase",2,"pasture","strategic",6,-1.07415683745057,-0.995930153223017,-1.17728851377132,0.0199508762573855,-0.24406301956024,21,0,362.6808702,5,581
"38","18",2016,"2016",550,200,-0.866689988304751,"neutral",1,"pasture","neutral",2,-0.00230505759109583,-0.895031193636996,-0.384568511457917,2.32893228844547,3.44890838601942,31,0.011050157,921.4587267,19,7575
"39","18",2017,"2017",420,200,-0.866689988304751,"decrease",2,"pasture","strategic",2,-2.14600861731004,-0.91360874745061,-0.993557906334078,0.679659851168266,0.855802499144711,11,0.009015598,492.190148,9,2664
"40","18",2018,"2018",300,200,-0.866689988304751,"decrease",2,"pasture","strategic",2,1.28391707824027,0.179024970527625,1.66904910516168,-0.639758098653495,-0.482200008967793,43,0.128677626,2369.026653,1,130
"41","19",2016,"2016",450,800,-0.00693351990643806,"neutral",1,"pasture","neutral",6,-0.00230505759109583,-0.895031193636996,-0.384568511457917,1.50429606980687,1.48573027822057,31,0.011050157,921.4587267,14,3857
"42","19",2018,"2018",240,800,-0.00693351990643806,"decrease",2,"pasture","strategic",6,-1.71726790536625,-0.994569899345313,-1.08261186129042,-0.804685342381215,-0.550842600149571,15,0.000148971,429.4171917,0,0
"43","19",2021,"2021",1140,800,-0.00693351990643806,"increase",2,"social","strategic",5,0.212065298380799,1.48774298514441,0.770940579858995,-0.309903611198055,-0.342274726943399,33,0.27200457,1735.961819,3,395
"44","20",2018,"2018",850,2000,1.71257941689019,"decrease",2,"weak_herd","tactical",3,2.14139850212785,-0.131720691066456,1.16282821708144,-0.804685342381215,-0.550842600149571,51,0.094645676,2012.198237,0,0
"45","20",2017,"2017",1150,2500,2.42904314055545,"neutral",1,"pasture","neutral",3,-0.323860591548938,-0.295206166898338,0.552184293677775,0.349805363712826,0.0822532985192898,28,0.076741228,1581.763403,7,1199
"46","9",2006,"2006",400,1000,0.279651969559666,"decrease",2,"pasture","strategic",6,-0.93124326680264,-0.184658244499617,0.737687050752789,0.184878119985106,-0.0629521828267791,22.3333333333333,0.088848111,1712.52184566667,6,924
"47","21",2000,"2000",1200,500,-0.436811754105595,"neutral",1,"weak_herd","tactical",7,-0.323860591548938,-0.186989379114569,1.48245292805659,-0.804685342381215,-0.550842600149571,28,0.088592812,2237.497473,0,0
